Date,TeamA,TeamB,ScoreA,ScoreB,Sex,TournamentName,year,Venue,WinningTeam
2021/06/11,Madagascar,Tunisia,16,44,W,AfricanChampionship,2021,Cameroon,Tunisia
2021/06/11,Guinea,Senegal,20,32,W,AfricanChampionship,2021,Cameroon,Senegal
2021/06/13,Guinea,Madagascar,35,16,W,AfricanChampionship,2021,Cameroon,Guinea
2021/06/13,Senegal,Tunisia,13,30,W,AfricanChampionship,2021,Cameroon,Tunisia
2021/06/08,Nigeria,DR Congo,16,35,W,AfricanChampionship,2021,Cameroon,DR Congo
2021/06/08,Cameroon,Kenya,40,16,W,AfricanChampionship,2021,Cameroon,Cameroon
2021/06/10,DR Congo,Kenya,42,16,W,AfricanChampionship,2021,Cameroon,DR Congo
2021/06/10,Cameroon,Nigeria,31,19,W,AfricanChampionship,2021,Cameroon,Cameroon
2021/06/12,Nigeria,Kenya,26,21,W,AfricanChampionship,2021,Cameroon,Nigeria
2021/06/12,DR Congo,Cameroon,21,26,W,AfricanChampionship,2021,Cameroon,Cameroon
2021/06/09,Angola,Cape Verde,39,14,W,AfricanChampionship,2021,Cameroon,Angola
2021/06/11,Cape Verde,Congo,23,34,W,AfricanChampionship,2021,Cameroon,Congo
2021/06/13,Angola,Congo,29,24,W,AfricanChampionship,2021,Cameroon,Angola
2021/06/14,Madagascar,Kenya,30,33,W,AfricanChampionship,2021,Cameroon,Kenya
2021/06/15,Cape Verde,Madagascar,30,16,W,AfricanChampionship,2021,Cameroon,Cape Verde
2021/06/17,Cape Verde,Kenya,27,22,W,AfricanChampionship,2021,Cameroon,Cape Verde
2021/06/15,Angola,DR Congo,29,20,W,AfricanChampionship,2021,Cameroon,Angola
2021/06/15,Tunisia,Guinea,27,20,W,AfricanChampionship,2021,Cameroon,Tunisia
2021/06/15,Congo,Senegal,21,20,W,AfricanChampionship,2021,Cameroon,Congo
2021/06/15,Cameroon,Nigeria,44,14,W,AfricanChampionship,2021,Cameroon,Cameroon
2021/06/16,Guinea,DR Congo,26,33,W,AfricanChampionship,2021,Cameroon,DR Congo
2021/06/16,Nigeria,Senegal,15,32,W,AfricanChampionship,2021,Cameroon,Senegal
2021/06/16,Tunisia,Angola,23,27,W,AfricanChampionship,2021,Cameroon,Angola
2021/06/16,Cameroon,Congo,22,21,W,AfricanChampionship,2021,Cameroon,Cameroon
2021/06/17,Guinea,Nigeria,25,21,W,AfricanChampionship,2021,Cameroon,Guinea
2021/06/17,DR Congo,Senegal,14,24,W,AfricanChampionship,2021,Cameroon,Senegal
2021/06/18,Tunisia,Congo,22,17,W,AfricanChampionship,2021,Cameroon,Tunisia
2022/11/10,DR Congo,Cape Verde,27,19,W,AfricanChampionship,2022,Senegal,DR Congo
2022/11/10,Angola,Algeria,29,17,W,AfricanChampionship,2022,Senegal,Angola
2022/11/13,Algeria,DR Congo,23,32,W,AfricanChampionship,2022,Senegal,DR Congo
2022/11/13,Cape Verde,Angola,15,38,W,AfricanChampionship,2022,Senegal,Angola
2022/11/14,Cape Verde,Algeria,30,36,W,AfricanChampionship,2022,Senegal,Algeria
2022/11/14,Angola,DR Congo,35,22,W,AfricanChampionship,2022,Senegal,Angola
2022/11/09,Morocco,Tunisia,25,35,W,AfricanChampionship,2022,Senegal,Tunisia
2022/11/09,Congo,Guinea,25,21,W,AfricanChampionship,2022,Senegal,Congo
2022/11/10,Egypt,Congo,20,21,W,AfricanChampionship,2022,Senegal,Congo
2022/11/10,Tunisia,Guinea,36,23,W,AfricanChampionship,2022,Senegal,Tunisia
2022/11/11,Guinea,Morocco,28,20,W,AfricanChampionship,2022,Senegal,Guinea
2022/11/11,Egypt,Tunisia,22,21,W,AfricanChampionship,2022,Senegal,Egypt
2022/11/13,Morocco,Egypt,20,28,W,AfricanChampionship,2022,Senegal,Egypt
2022/11/13,Tunisia,Congo,20,25,W,AfricanChampionship,2022,Senegal,Congo
2022/11/14,Guinea,Egypt,22,29,W,AfricanChampionship,2022,Senegal,Egypt
2022/11/14,Congo,Morocco,38,27,W,AfricanChampionship,2022,Senegal,Congo
2022/11/09,Cameroon,Ivory Coast,28,16,W,AfricanChampionship,2022,Senegal,Cameroon
2022/11/09,Senegal,Madagascar,40,9,W,AfricanChampionship,2022,Senegal,Senegal
2022/11/11,Madagascar,Cameroon,9,42,W,AfricanChampionship,2022,Senegal,Cameroon
2022/11/11,Ivory Coast,Senegal,15,31,W,AfricanChampionship,2022,Senegal,Senegal
2022/11/14,Madagascar,Ivory Coast,14,40,W,AfricanChampionship,2022,Senegal,Ivory Coast
2022/11/14,Cameroon,Senegal,28,27,W,AfricanChampionship,2022,Senegal,Cameroon
2022/11/16,Algeria,Morocco,25,23,W,AfricanChampionship,2022,Senegal,Algeria
2022/11/16,Cape Verde,Guinea,20,26,W,AfricanChampionship,2022,Senegal,Guinea
2022/11/17,Madagascar,Guinea,14,44,W,AfricanChampionship,2022,Senegal,Guinea
2022/11/18,Madagascar,Cape Verde,16,35,W,AfricanChampionship,2022,Senegal,Cape Verde
2022/11/19,Morocco,Cape Verde,29,24,W,AfricanChampionship,2022,Senegal,Morocco
2022/11/19,Algeria,Guinea,26,29,W,AfricanChampionship,2022,Senegal,Guinea
2022/11/16,Angola,Tunisia,29,24,W,AfricanChampionship,2022,Senegal,Angola
2022/11/16,Ivory Coast,Congo,21,35,W,AfricanChampionship,2022,Senegal,Congo
2022/11/16,Cameroon,DR Congo,23,22,W,AfricanChampionship,2022,Senegal,Cameroon
2022/11/16,Egypt,Senegal,19,21,W,AfricanChampionship,2022,Senegal,Senegal
2022/11/17,Tunisia,Egypt,24,22,W,AfricanChampionship,2022,Senegal,Tunisia
2022/11/17,Ivory Coast,DR Congo,26,31,W,AfricanChampionship,2022,Senegal,DR Congo
2022/11/17,Congo,Cameroon,25,27,W,AfricanChampionship,2022,Senegal,Cameroon
2022/11/17,Angola,Senegal,24,21,W,AfricanChampionship,2022,Senegal,Angola
2022/11/18,Egypt,Ivory Coast,24,27,W,AfricanChampionship,2022,Senegal,Ivory Coast
2022/11/18,Tunisia,DR Congo,28,24,W,AfricanChampionship,2022,Senegal,Tunisia
2022/11/19,Congo,Senegal,20,19,W,AfricanChampionship,2022,Senegal,Congo
